CustomerCode,CustomerName,LocationCode,Address
32TOTL,TOTAL METALWORKS INC,,
32TRAD,TRADESMAN MANUFACTURING,,
32TRIM,TRIMET BUILDING PRODUCTS INC,,
32TRLO,TRIMLOCK LTD,,
32TROT,TROTTER & MORTON,,
32TRU,TRU CRAFT ROOFING (2005) LTD,,
32TUFF,TUFFER SERVICES INC,,
32TW,TRAILER WIZARDS LTD,,
32UR,UNITED ROOFING INC,,
32VALL,V V COLONY FARMING CO. LTD,,
32VERD,VERDANT VALLEY FARMING CO LTD,,
32VIPC,VIPCO VISUAL BOARDS,,
32VMET,VALLEY METAL FABRICATORS LTD,,
32WAIR,WEST AIR SHEET METAL LTD ~COD,,
32WARW,WARWICK STRUCTURES GROUP LTD,,
32WASE,WASEA METAL INDUSTRIES LTD,,
32WDC,WHEATLAND DESIGN COMPANY/ DRA-,,
32WEAT,WEATHERGUARD METALS LTD,,
32WESG,WESCOM GLASS & ALUMINUM LTD,,
32WEWE,WESTERN WEATHER PROTECTOR LTD,,
32WHFC,WHLAND FARMING CO. LTD,,
32WHIS,WHISPER HEATING & COOLING LTD,,
32WM,WM. SCHMIDT MECHANICAL,,
32WPBS,WEST POINTE BUILDING SERVICES,,
32WVP,WESTVENT,,
32XIAN,XIAN HOLDINGS LTD,,
33ABET,A BETTER PANEL INC.,,
33AC,A.C. DANDY PRODUCTS,,
33BEAR,BEAR METALS INC,,
33BLCK,CLEAR RUSH CO,,
33BRID,BRIDGE AIR SYSTEMS LTD,,
33BURM,BURMAC MECHANICAL 2000,,
33CAPN,CAP'N FLASH LTD,,
33COOP,COOPER ROOFING LTD. ~COD,,
33DEF,DEFIANT METALS,,
33ENRP,ENERPAN BUILDING SYSTEMS,,
33IMRK,IMARK INC.,,
33KEY,KEYMAY INDUSTRIES LTD,,
33LASE,LASERMANN CUTS LTD,,
33MKLO,MAKLOC BUILDINGS INC.,,
33MNAR,MONARCH SIDING CENTRE INC,,
33MODE,MODERN NIAGARA ALBERTA INC-EDM,,
33RED,RW LASER & CUSTOM WORX,,
33SINC,SINCLAIR SUPPLY - EDM,,
33SS,SUPERIOR STEEL LTD,,
33STAN,STANDARD ROOFING & EXTERIORS,,
34BONK,BONKOWSKI ENT. INC.,,
34FINI,FINISHING TOUCH LANGENBURG2016,,
34FOX,FOX VALLEY FARMING CO,,
34GENT,GENTEK BUILDING PRODUCTS LP,,
34HEBE,HEBERT METAL ROOFING&EXTERIORS,,
34PROO,PRAIRIE ROOFING SYSTEMS,,
34SSEA,SUPER SEAMLESS OF CANADA,,
34THOR,THORPE INDUSTRIES LTD,,
34TUFF,TUFF EXTERIORS,,
35ACME,ACME WELDING & SUPPLY (77) LTD,,
35BEND,BEND-IT (5125945 MB LTD),,
35BTM,BORDER TOWN METALS,,
35CSS,CRANE STEEL STRUCTURES LTD,,
35DOM,DOMTEK BUILDING PRODUCTS,,
35GOOD,GOODON SAWMILL AND LUMBER,,
35MAX,MAXIM TRUCK & TRAILER (DBA),,
35WST,WESTMAN STEEL - WINNIPEG,,
36DAYB,DAYBAR INDUSTRIES LIMITED,,
36HADR,HADRIAN MANUFACTURING INC,,
36TRI,TRIUMPH INC,,
37GRIF,GRIFFITHS HEATING & SHEET METL,,
38GLAM,GLAMOX INC,,
3A&AS,A&A STEEL ENT LTD,,
3A&R,A&R METAL INDUSTRIES LTD,,
3A-1,A-1 MACHINE & WELDING(1986)LTD,,
3AANAW,AANAWL SHEET METAL,,
3AARC,AARC-WEST MECHANICAL (2013)INC,,
3AARON,AARON-MARK SERVICES LTD,,
3ABCS,ABC RECYCLING (SURREY) LTD,,
3ABSOL,ABSOLUTE FAB & MACHINING LTD,,
